sheet,date,cluster_id,centroid_value,nearest_d_value,row_index_in_date_group,row_number_in_output_sheet
all_2-1,20240707,1,0.47726495726495727,0.4738461538461539,5,6
all_2-1,20240708,0,0.3415384615384615,0.3651282051282052,2,3
all_2-1,20240709,0,0.3415384615384615,0.3651282051282052,2,3
all_2-1,20240710,0,0.3415384615384615,0.3651282051282052,2,3
all_2-1,20240711,0,0.2825641025641026,0.2641025641025641,6,7
all_2-1,20240711,1,0.4244102564102564,0.4230769230769231,1,2
all_2-1,20240712,0,0.2825641025641026,0.2641025641025641,6,7
all_2-1,20240712,1,0.4244102564102564,0.4230769230769231,1,2
all_2-1,20240713,0,0.33352564102564103,0.3343589743589743,4,5
all_2-1,20240714,0,0.32576923076923076,0.317948717948718,0,1
all_2-1,20240715,0,0.32576923076923076,0.317948717948718,0,1
all_2-1,20240716,0,0.08769230769230768,0.08358974358974358,6,7
all_2-1,20240716,1,0.25726495726495724,0.2841025641025641,3,4
all_2-1,20240716,2,0.3495726495726495,0.3487179487179487,1,2
all_2-1,20240717,0,0.12393162393162392,0.0917948717948718,5,6
all_2-1,20240717,1,0.3385897435897436,0.3425641025641025,0,1
all_2-1,20240717,2,0.4112820512820513,0.4112820512820513,2,3
all_2-1,20240718,0,0.12393162393162392,0.0917948717948718,5,6
all_2-1,20240718,1,0.34594871794871795,0.3487179487179487,1,2
all_2-1,20240719,0,0.12393162393162392,0.0917948717948718,5,6
all_2-1,20240719,1,0.3385897435897436,0.3425641025641025,0,1
all_2-1,20240719,2,0.4112820512820513,0.4112820512820513,2,3
all_2-1,20240720,0,0.40108974358974364,0.4030769230769231,0,1
all_2-1,20240721,0,0.40108974358974364,0.4030769230769231,0,1
all_2-1,20240722,0,0.08341880341880341,0.08564102564102563,3,4
all_2-1,20240722,1,0.1358974358974359,0.1358974358974359,4,5
all_2-1,20240722,2,0.2928205128205128,0.2928205128205128,7,8
all_2-1,20240722,3,0.3105982905982905,0.3107692307692307,1,2
all_2-1,20240723,0,0.08341880341880341,0.08564102564102563,3,4
all_2-1,20240723,1,0.1358974358974359,0.1358974358974359,4,5
all_2-1,20240723,2,0.2928205128205128,0.2928205128205128,7,8
all_2-1,20240723,3,0.3105982905982905,0.3107692307692307,1,2
all_2-1,20240724,0,0.08341880341880341,0.08564102564102563,3,4
all_2-1,20240724,1,0.1235897435897436,0.1235897435897436,4,5
all_2-1,20240724,2,0.2928205128205128,0.2928205128205128,7,8
all_2-1,20240724,3,0.3105982905982905,0.3107692307692307,1,2
all_2-1,20240725,0,0.08341880341880341,0.08564102564102563,3,4
all_2-1,20240725,1,0.1235897435897436,0.1235897435897436,4,5
all_2-1,20240725,2,0.2928205128205128,0.2928205128205128,7,8
all_2-1,20240725,3,0.3105982905982905,0.3107692307692307,1,2
all_2-1,20240726,0,0.08341880341880341,0.08564102564102563,3,4
all_2-1,20240726,1,0.1235897435897436,0.1235897435897436,4,5
all_2-1,20240726,2,0.2928205128205128,0.2928205128205128,7,8
all_2-1,20240726,3,0.3105982905982905,0.3107692307692307,1,2
all_2-1,20240727,0,0.3406410256410256,0.3466666666666667,0,1
all_2-1,20240728,0,0.33935897435897433,0.3466666666666667,0,1
all_2-1,20240729,0,0.32243589743589746,0.3574358974358974,0,1
all_2-1,20240730,0,0.319423076923077,0.3574358974358974,0,1
all_2-1,20240731,0,0.319423076923077,0.3574358974358974,0,1
all_2-1,20240801,0,0.3063461538461538,0.3548717948717949,3,4
all_2-1,20240802,0,0.3063461538461538,0.3548717948717949,3,4
all_2-1,20240803,0,0.11623931623931623,0.09846153846153846,7,8
all_2-1,20240803,1,0.4056410256410256,0.3953846153846154,1,2
all_2-1,20240804,0,0.11777777777777776,0.09846153846153846,7,8
all_2-1,20240804,1,0.3740170940170941,0.3702564102564103,0,1
all_2-1,20240804,2,0.45974358974358975,0.4748717948717949,3,4
all_2-1,20240805,0,0.17128205128205126,0.2061538461538461,3,4
all_2-1,20240805,1,0.2917948717948718,0.2933333333333333,1,2
all_2-1,20240806,0,0.17128205128205126,0.2061538461538461,3,4
all_2-1,20240806,1,0.28957264957264955,0.2933333333333333,1,2
all_2-1,20240807,0,0.17128205128205126,0.2061538461538461,3,4
all_2-1,20240807,1,0.28957264957264955,0.2933333333333333,1,2
all_2-1,20240808,0,0.17128205128205126,0.2061538461538461,3,4
all_2-1,20240808,1,0.28957264957264955,0.2933333333333333,1,2
all_2-1,20240809,0,0.17128205128205126,0.2061538461538461,3,4
all_2-1,20240809,1,0.28957264957264955,0.2933333333333333,1,2
all_2-1,20240810,0,0.05641025641025641,0.0482051282051282,7,8
all_2-1,20240810,1,0.3346153846153846,0.3323076923076923,1,2
all_2-1,20240810,2,0.46615384615384614,0.4456410256410256,3,4
all_2-1,20240811,0,0.0694017094017094,0.07076923076923076,5,6
all_2-1,20240811,1,0.3282051282051282,0.3323076923076923,1,2
all_2-1,20240811,2,0.46615384615384614,0.4456410256410256,3,4
all_2-1,20240812,0,0.0694017094017094,0.07076923076923076,5,6
all_2-1,20240812,1,0.32273504273504267,0.3323076923076923,1,2
all_2-1,20240812,2,0.46615384615384614,0.4456410256410256,3,4
all_2-1,20240813,0,0.30455128205128207,0.3046153846153846,0,1
all_2-1,20240814,0,0.30532051282051287,0.3097435897435897,6,7
all_2-1,20240815,0,0.3106410256410257,0.3097435897435897,6,7
all_2-1,20240816,0,0.29871794871794877,0.2897435897435898,0,1
all_2-1,20240817,0,0.08666666666666666,0.07692307692307693,5,6
all_2-1,20240817,1,0.33000000000000007,0.3102564102564103,0,1
all_2-1,20240817,2,0.4184615384615385,0.4174358974358975,3,4
all_2-1,20240818,0,0.08666666666666666,0.07692307692307693,5,6
all_2-1,20240818,1,0.33000000000000007,0.3102564102564103,0,1
all_2-1,20240818,2,0.4184615384615385,0.4174358974358975,3,4
all_2-1,20240819,0,0.23621794871794874,0.2266666666666667,6,7
all_2-1,20240820,0,0.23621794871794874,0.2266666666666667,6,7
all_2-1,20240821,0,0.23621794871794874,0.2266666666666667,6,7
all_2-1,20240822,0,0.23621794871794874,0.2266666666666667,6,7
all_2-1,20240823,0,0.23621794871794874,0.2266666666666667,6,7
all_2-1,20240824,0,0.08547008547008549,0.06769230769230769,5,6
all_2-1,20240824,1,0.39343589743589746,0.3912820512820513,4,5
all_2-1,20240825,0,0.08547008547008549,0.06769230769230769,5,6
all_2-1,20240825,1,0.39343589743589746,0.3912820512820513,4,5
all_2-1,20240826,0,0.2378205128205128,0.2533333333333334,3,4
all_2-1,20240827,0,0.2378205128205128,0.2533333333333334,3,4
all_2-1,20240828,0,0.2378205128205128,0.2533333333333334,3,4
all_2-1,20240829,0,0.2378205128205128,0.2533333333333334,3,4
all_2-1,20240830,0,0.23756410256410254,0.2523076923076923,4,5
all_2-1,20240831,0,0.05965811965811966,0.06974358974358975,5,6
all_2-1,20240831,1,0.27589743589743587,0.2558974358974359,0,1
all_2-1,20240831,2,0.36290598290598286,0.36,4,5
all_2-1,20240901,0,0.05931623931623931,0.06974358974358975,5,6
all_2-1,20240901,1,0.2782051282051282,0.2846153846153846,1,2
all_2-1,20240901,2,0.3593162393162393,0.3584615384615385,3,4
all_2-1,20240902,0,0.07743589743589742,0.05846153846153845,4,5
all_2-1,20240902,1,0.24961538461538463,0.2492307692307693,1,2
