sheet,date,cluster_id,distance_to_centroid,num_points,mean_d
all_1-0,2024-12-26,3,0.13245913287500868,8,0.2196153846153846
all_1-0,2024-12-27,3,0.17095447570663974,8,0.22730769230769232
all_1-0,2024-12-28,4,0.23444136351717257,8,0.12320512820512822
all_1-0,2024-12-29,4,0.22599351089677297,8,0.12698717948717947
all_1-0,2024-12-30,4,0.23854205469883624,8,0.12185897435897436
all_1-0,2024-12-31,4,0.23854205469883624,8,0.12185897435897436
all_1-0,2025-01-01,4,0.24043812000867393,8,0.12115384615384614
all_1-0,2025-01-02,4,0.24043812000867393,8,0.12115384615384614
all_1-0,2025-01-03,4,0.24043812000867393,8,0.12115384615384614
all_1-0,2025-01-04,4,0.26474404500813237,8,0.11333333333333334
all_1-0,2025-01-05,4,0.22874732625854752,8,0.126025641025641
all_1-0,2025-01-06,3,0.13776003762675595,8,0.20916666666666664
all_1-0,2025-01-07,3,0.13295452325039525,8,0.20801282051282055
all_1-0,2025-01-08,3,0.11960640881021915,8,0.2123717948717949
all_1-0,2025-01-09,3,0.1441225599614873,8,0.2074358974358974
all_1-0,2025-01-10,3,0.12058968275164034,8,0.21525641025641024
all_1-0,2025-01-11,6,0.22489283373353341,8,0.41128205128205125
all_1-0,2025-01-12,6,0.2064540442149847,8,0.4156410256410256
all_1-0,2025-01-13,6,0.24874596363359355,8,0.4112179487179487
all_1-0,2025-01-14,3,0.1937156249721273,8,0.25243589743589745
all_1-0,2025-01-15,3,0.09953686921583546,8,0.22974358974358977
all_1-0,2025-01-16,3,0.17956935177192068,8,0.17769230769230768
all_1-0,2025-01-17,3,0.19783444185830876,8,0.17467948717948717
all_1-0,2025-01-18,3,0.1674409149286264,8,0.2674358974358974
all_1-0,2025-01-19,3,0.17065059708283722,8,0.26897435897435895
all_1-0,2025-01-20,3,0.09639936985785455,8,0.21993589743589742
all_1-0,2025-01-21,3,0.08158852343718274,8,0.2155769230769231
all_1-0,2025-01-22,3,0.10852511694860348,8,0.21083333333333334
all_1-0,2025-01-23,3,0.050837109057543114,8,0.22705128205128206
all_1-0,2025-01-24,3,0.07186440579245781,8,0.2312179487179487
all_1-0,2025-01-25,4,0.09957108539897709,8,0.19685897435897437
all_1-0,2025-01-26,4,0.10101700058727353,8,0.19897435897435897
all_1-0,2025-01-27,3,0.15681050770989377,8,0.2715384615384615
all_1-0,2025-01-28,3,0.15146511528670709,8,0.268525641025641
all_1-0,2025-01-29,3,0.12803442338203483,8,0.25019230769230766
all_1-0,2025-01-30,3,0.11555352739046082,8,0.24641025641025638
all_1-0,2025-01-31,3,0.128181944304581,8,0.25884615384615384
all_1-0,2025-02-01,4,0.17035481266226798,8,0.2364102564102564
all_1-0,2025-02-02,4,0.10151317082885555,8,0.19865384615384615
all_1-0,2025-02-03,3,0.21876351640823186,8,0.2105128205128205
all_1-0,2025-02-04,3,0.17304514976999477,8,0.22865384615384615
all_1-0,2025-02-05,3,0.20671125522431544,8,0.2858974358974359
all_1-0,2025-02-06,3,0.17834181819449182,8,0.21756410256410258
all_1-0,2025-02-07,3,0.18154654216513405,8,0.216025641025641
all_1-0,2025-02-08,4,0.11468335044816046,8,0.1787820512820513
all_1-0,2025-02-09,4,0.11468335044816046,8,0.1787820512820513
all_1-0,2025-02-10,7,0.15898790050761163,8,0.3010897435897436
all_1-0,2025-02-11,4,0.11468335044816046,8,0.1787820512820513
all_1-0,2025-02-12,4,0.12235132621289103,8,0.2430128205128205
all_1-0,2025-02-13,7,0.12829651100795486,8,0.321025641025641
all_1-0,2025-02-14,7,0.1486436852392604,8,0.30801282051282053
all_1-0,2025-02-15,4,0.10886894417118936,8,0.2312820512820513
all_1-0,2025-02-16,4,0.10849678132402056,8,0.23115384615384615
all_1-0,2025-02-17,7,0.15436020369052078,8,0.30012820512820515
all_1-0,2025-02-18,7,0.11118730121851095,8,0.31256410256410255
all_1-0,2025-02-19,7,0.12072392327573302,8,0.31038461538461537
all_1-0,2025-02-20,7,0.10004201388233955,8,0.32583333333333336
all_1-0,2025-02-21,7,0.1199663791449996,8,0.314551282051282
all_1-0,2025-02-22,4,0.12435186057254462,8,0.18435897435897436
all_1-0,2025-02-23,4,0.11057102001325711,8,0.18487179487179486
all_1-0,2025-02-24,4,0.10938614722889294,8,0.18871794871794872
all_1-0,2025-02-25,7,0.1873899883132294,8,0.28365384615384615
all_1-0,2025-02-26,7,0.18566796020543433,8,0.28057692307692306
all_1-0,2025-02-27,4,0.16989072262702692,8,0.25596153846153846
all_1-0,2025-02-28,4,0.06308601526108343,8,0.21365384615384617
all_1-0,2025-03-01,7,0.16640340907424145,8,0.2873717948717949
all_1-0,2025-03-02,7,0.15939664418179342,8,0.29685897435897435
all_1-0,2025-03-03,7,0.15653764852742572,8,0.3359615384615384
all_1-0,2025-03-04,7,0.13730099519751812,8,0.36025641025641025
all_1-0,2025-03-05,7,0.10617613871413466,8,0.3518589743589744
all_1-0,2025-03-06,7,0.11104341813013623,8,0.31249999999999994
all_1-0,2025-03-07,7,0.14694633645739652,8,0.3079487179487179
all_1-0,2025-03-08,4,0.10091866738105933,8,0.18794871794871792
all_1-0,2025-03-09,4,0.10091866738105933,8,0.18794871794871792
all_1-0,2025-03-10,7,0.10686631929562157,8,0.34788461538461535
all_1-0,2025-03-11,7,0.08251738675399145,8,0.3296153846153846
all_1-0,2025-03-12,7,0.1049878959411492,8,0.3046794871794871
all_1-0,2025-03-13,6,0.2670952425578026,8,0.42858974358974355
all_1-0,2025-03-14,7,0.09740141524670136,8,0.33955128205128204
all_1-0,2025-03-15,4,0.10958318739326814,8,0.23544871794871797
all_1-0,2025-03-16,4,0.10958318739326814,8,0.23544871794871797
all_1-0,2025-03-17,7,0.07222862403293458,8,0.34378205128205125
all_1-0,2025-03-18,7,0.08428532187397192,8,0.35108974358974354
all_1-0,2025-03-19,7,0.08166915792958335,8,0.34980769230769226
all_1-0,2025-03-20,4,0.10958318739326814,8,0.23544871794871797
all_1-0,2025-03-21,7,0.07485014692536411,8,0.31846153846153846
all_1-0,2025-03-22,4,0.09684689450430697,8,0.21429487179487175
all_1-0,2025-03-23,4,0.07208288696673715,8,0.19987179487179488
all_1-0,2025-03-24,7,0.18332116258822626,8,0.27032051282051284
all_1-0,2025-03-25,7,0.13182807274307157,8,0.30192307692307696
all_1-0,2025-03-26,7,0.13781071316658922,8,0.31339743589743596
all_1-0,2025-03-27,7,0.1733984149965535,8,0.2808333333333334
all_1-0,2025-03-28,7,0.09482468528993539,8,0.3062179487179487
all_1-0,2025-03-29,4,0.2796766149764293,8,0.1094230769230769
all_1-0,2025-03-30,4,0.21073945476573522,8,0.13884615384615384
all_1-0,2025-03-31,4,0.1669316840901171,8,0.22384615384615383
all_2-1,2024-04-01,7,0.23191858824455644,8,0.4186538461538462
all_2-1,2024-04-02,7,0.23191858824455644,8,0.4186538461538462
all_2-1,2024-04-03,7,0.23191858824455644,8,0.4186538461538462
all_2-1,2024-04-04,7,0.23191858824455644,8,0.4186538461538462
all_2-1,2024-04-05,7,0.23191858824455644,8,0.4186538461538462
all_2-1,2024-04-06,7,0.26938311446660884,8,0.41262820512820514
all_2-1,2024-04-07,7,0.27019199534904265,8,0.41525641025641025
all_2-1,2024-04-08,7,0.3820814387748839,8,0.6034615384615385
all_2-1,2024-04-09,7,0.3820814387748839,8,0.6034615384615385
all_2-1,2024-04-10,7,0.3820814387748839,8,0.6034615384615385
all_2-1,2024-04-11,7,0.3820814387748839,8,0.6034615384615385
all_2-1,2024-04-12,7,0.3820814387748839,8,0.6034615384615385
all_2-1,2024-04-13,6,0.0980545334088004,8,0.3437179487179487
all_2-1,2024-04-14,6,0.0980545334088004,8,0.3437179487179487
all_2-1,2024-04-15,6,0.183659363432822,8,0.37653846153846154
all_2-1,2024-04-16,6,0.183659363432822,8,0.37653846153846154
all_2-1,2024-04-17,6,0.14410441752539116,8,0.35128205128205126
all_2-1,2024-04-18,6,0.14410441752539116,8,0.35128205128205126
all_2-1,2024-04-19,6,0.14410441752539116,8,0.35128205128205126
all_2-1,2024-04-20,6,0.21877947408172616,8,0.3908974358974359
all_2-1,2024-04-21,6,0.21147615628161162,8,0.38833333333333336
all_2-1,2024-04-22,6,0.24908835765962006,8,0.40230769230769237
all_2-1,2024-04-23,7,0.20305187586451173,8,0.551025641025641
all_2-1,2024-04-24,7,0.20305187586451173,8,0.551025641025641
all_2-1,2024-04-25,7,0.20305187586451173,8,0.551025641025641
all_2-1,2024-04-26,7,0.16100353283341115,8,0.5030128205128205
all_2-1,2024-04-27,7,0.21967111006311074,8,0.4412820512820512
all_2-1,2024-04-28,6,0.22047105135151265,8,0.38557692307692304
all_2-1,2024-04-29,7,0.25187231535077,8,0.42205128205128206
all_2-1,2024-04-30,7,0.11880251052554847,8,0.48525641025641025
all_2-1,2024-05-01,7,0.1971154169095105,8,0.45576923076923076
all_2-1,2024-05-02,7,0.17586006564442408,8,0.4607051282051282
all_2-1,2024-05-03,6,0.07713204459128613,8,0.32487179487179485
all_2-1,2024-05-04,6,0.1293374491730012,8,0.29935897435897435
all_2-1,2024-05-05,6,0.1287953522341051,8,0.29775641025641025
all_2-1,2024-05-06,6,0.12781472449516892,8,0.2988461538461538
all_2-1,2024-05-07,6,0.12287547895648741,8,0.28217948717948715
all_2-1,2024-05-08,6,0.12233343581764265,8,0.2894871794871795
all_2-1,2024-05-09,6,0.10750394334002202,8,0.3449358974358975
all_2-1,2024-05-10,6,0.10750394334002202,8,0.3449358974358975
all_2-1,2024-05-11,6,0.1110347152465396,8,0.296025641025641
all_2-1,2024-05-12,6,0.10186195276767958,8,0.3078205128205128
all_2-1,2024-05-13,6,0.08834313923728188,8,0.30044871794871797
all_2-1,2024-05-14,6,0.08834313923728188,8,0.30044871794871797
all_2-1,2024-05-15,6,0.04864780694017944,8,0.31064102564102564
all_2-1,2024-05-16,6,0.04864780694017944,8,0.31064102564102564
all_2-1,2024-05-17,6,0.04864780694017944,8,0.31064102564102564
all_2-1,2024-05-18,5,0.14950871741329688,8,0.2414102564102564
all_2-1,2024-05-19,5,0.14950871741329688,8,0.2414102564102564
all_2-1,2024-05-20,4,0.09047369159100475,8,0.33717948717948715
all_2-1,2024-05-21,4,0.09047369159100475,8,0.33717948717948715
all_2-1,2024-05-22,4,0.09047369159100475,8,0.33717948717948715
all_2-1,2024-05-23,6,0.10785960926246717,8,0.3007051282051282
all_2-1,2024-05-24,6,0.10785960926246717,8,0.3007051282051282
all_2-1,2024-05-25,5,0.1805879813451359,8,0.27243589743589747
all_2-1,2024-05-26,5,0.1805879813451359,8,0.27243589743589747
all_2-1,2024-05-27,4,0.16095157649007596,8,0.3138461538461539
all_2-1,2024-05-28,4,0.16095157649007596,8,0.3138461538461539
