--- x2[i][j][t] nonzero ---
x2[5][1][15] = 0.10000000
x2[5][1][16] = 0.10000000
x2[5][1][17] = 0.10000000
x2[5][1][34] = 0.10000000
x2[5][1][35] = 0.10000000
x2[5][1][36] = 0.10000000
x2[5][1][39] = 0.01287747
x2[5][2][8] = 0.10000000
x2[5][3][7] = 0.10000000
x2[5][3][18] = 0.10000000
x2[5][3][19] = 0.05721250
x2[5][3][20] = 0.01442500
x2[5][3][37] = 0.10000000
x2[5][3][38] = 0.10000000
x2[6][1][3] = 0.10000000
x2[6][1][4] = 0.10000000
x2[6][1][5] = 0.10000000
x2[6][1][6] = 0.10000000
x2[6][1][34] = 0.10000000
x2[6][1][35] = 0.10000000
x2[6][1][36] = 0.10000000
x2[6][2][8] = 0.10000000
x2[6][3][7] = 0.10000000
x2[6][3][37] = 0.10000000
x2[6][3][38] = 0.10000000
x2[7][1][3] = 0.10000000
x2[7][1][4] = 0.10000000
x2[7][1][5] = 0.10000000
x2[7][1][6] = 0.10000000
x2[7][1][34] = 0.10000000
x2[7][1][35] = 0.10000000
x2[7][1][36] = 0.10000000
x2[7][2][8] = 0.10000000
x2[7][3][7] = 0.10000000
x2[7][3][37] = 0.10000000
x2[7][3][38] = 0.08536923
x2[8][1][3] = 0.10000000
x2[8][1][4] = 0.10000000
x2[8][1][5] = 0.10000000
x2[8][1][6] = 0.10000000
x2[8][1][34] = 0.10000000
x2[8][1][35] = 0.10000000
x2[8][1][36] = 0.10000000
x2[8][3][7] = 0.10000000
x2[8][3][37] = 0.10000000
x2[9][1][3] = 0.10000000
x2[9][1][4] = 0.10000000
x2[9][1][5] = 0.10000000
x2[9][1][6] = 0.10000000
x2[9][1][34] = 0.10000000
x2[9][1][35] = 0.10000000
x2[9][1][36] = 0.10000000
x2[9][3][7] = 0.10000000
x2[9][3][37] = 0.10000000
x2[10][1][3] = 0.10000000
x2[10][1][4] = 0.10000000
x2[10][1][5] = 0.10000000
x2[10][1][6] = 0.10000000
x2[10][1][34] = 0.02950217
x2[10][1][35] = 0.02950217
x2[10][1][36] = 0.06243701
x2[10][3][7] = 0.10000000
x2[10][3][37] = 0.05786099
